,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole,votingAuthorityShared,votingAuthorityNone
3021,XCEL ENERGY INC,COM,98389B100,582016,9401,SH,OTR,0,9401,0
3022,XCEL ENERGY INC,COM,98389B100,2209754,35693,SH,SOLE,35693,0,0
3023,XCEL ENERGY INC,COM,98389B100,30119215,486500,SH,SOLE,486500,0,0
3024,XENIA HOTELS & RESORTS INC,COM,984017103,43679,3207,SH,OTR,0,3207,0
3025,XENIA HOTELS & RESORTS INC,COM,984017103,17587111,1291271,SH,SOLE,1291271,0,0
3026,XENON PHARMACEUTICALS INC,COM,98420N105,730097,15851,SH,SOLE,15851,0,0
3027,XEROX HOLDINGS CORP,COM NEW,98421M106,79552,4340,SH,OTR,0,4340,0
3028,XEROX HOLDINGS CORP,COM NEW,98421M106,846663,46190,SH,SOLE,46190,0,0
3029,XOMETRY INC,CLASS A COM,98423F109,1157738,32240,SH,SOLE,32240,0,0
3030,XP INC,CL A,G98239109,383803,14722,SH,SOLE,14722,0,0
3031,XPEL INC,COM,98379L100,2939833,54593,SH,SOLE,54593,0,0
3032,XPENG INC,ADS,98422D105,4328547,296679,SH,SOLE,296679,0,0
3033,XPERI INC,COMMON STOCK,98423J101,172573,15660,SH,OTR,0,15660,0
3034,XPERI INC,COMMON STOCK,98423J101,598651,54324,SH,SOLE,54324,0,0
3035,XPO INC,COM,983793100,132745185,1515529,SH,SOLE,1515529,0,0
3036,XPONENTIAL FITNESS INC,COM CL A,98422X101,27739,2152,SH,OTR,0,2152,0
3037,XPONENTIAL FITNESS INC,COM CL A,98422X101,1109777,86096,SH,SOLE,86096,0,0
