,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole,votingAuthorityShared,votingAuthorityNone
0,10X GENOMICS INC,CL A COM,88025U109,1562049,80311,SH,SOLE,80311,0,0
1,3-D SYS CORP DEL,COM NEW,88554D205,107564,35037,SH,SOLE,35037,0,0
2,3M CO,COM,88579Y101,2105114,20600,SH,SOLE,20600,0,0
3,3M CO,COM,88579Y101,4690521,45900,SH,SOLE,45900,0,0
4,3M CO,COM,88579Y101,304930259,2983954,SH,SOLE,2983954,0,0
5,5E ADVANCED MATERIALS INC,COMMON STOCK,33830Q109,20633,17052,SH,SOLE,17052,0,0
6,89BIO INC,COM,282559103,325655,40656,SH,SOLE,40656,0,0
7,A10 NETWORKS INC,COM,002121101,212044,15310,SH,SOLE,15310,0,0
8,ABACUS LIFE INC,CL A,00258Y104,7464846,862988,SH,SOLE,862988,0,0
9,ABBOTT LABS,COM,002824100,2814195,27083,SH,SOLE,27083,0,0
10,ABBOTT LABS,COM,002824100,3034172,29200,SH,SOLE,29200,0,0
11,ABBOTT LABS,COM,002824100,9486983,91300,SH,SOLE,91300,0,0
12,ABBVIE INC,COM,00287Y109,1415726,8254,SH,SOLE,8254,0,0
13,ABBVIE INC,COM,00287Y109,1903872,11100,SH,SOLE,11100,0,0
14,ABBVIE INC,COM,00287Y109,8061440,47000,SH,SOLE,47000,0,0
15,ABCELLERA BIOLOGICS INC,COM,00288U106,102990,34794,SH,SOLE,34794,0,0
16,ABERCROMBIE & FITCH CO,CL A,002896207,10427293,58633,SH,SOLE,58633,0,0
17,ACADIA PHARMACEUTICALS INC,COM,004225108,3250000,200000,SH,SOLE,200000,0,0
18,ACADIA PHARMACEUTICALS INC,COM,004225108,12547373,772146,SH,SOLE,772146,0,0
19,ACCEL ENTERTAINMENT INC,COM CL A1,00436Q106,3402360,331614,SH,SOLE,331614,0,0
20,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,1061935,3500,SH,SOLE,3500,0,0
21,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,1078623,3555,SH,SOLE,3555,0,0
22,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,2639667,8700,SH,SOLE,8700,0,0
23,ACCO BRANDS CORP,COM,00081T108,448314,95386,SH,SOLE,95386,0,0
24,ACCOLADE INC,COM,00437E102,162715,45451,SH,SOLE,45451,0,0
25,ACELYRIN INC,COM,00445A100,160423,36377,SH,SOLE,36377,0,0
26,ACI WORLDWIDE INC,COM,004498101,3251289,82124,SH,SOLE,82124,0,0
27,ACLARIS THERAPEUTICS INC,COM,00461U105,15301,13910,SH,SOLE,13910,0,0
28,ACUSHNET HLDGS CORP,COM,005098108,3580145,56398,SH,SOLE,56398,0,0
29,ADAPTIVE BIOTECHNOLOGIES COR,COM,00650F109,105802,29227,SH,SOLE,29227,0,0
30,ADDUS HOMECARE CORP,COM,006739106,2960457,25497,SH,SOLE,25497,0,0
31,ADIENT PLC,ORD SHS,G0084W101,14942038,604696,SH,SOLE,604696,0,0
32,ADMA BIOLOGICS INC,COM,000899104,16711182,1494739,SH,SOLE,1494739,0,0
33,ADOBE INC,COM,00724F101,1444404,2600,SH,SOLE,2600,0,0
34,ADOBE INC,COM,00724F101,22277154,40100,SH,SOLE,40100,0,0
35,ADOBE INC,COM,00724F101,47120903,84820,SH,SOLE,84820,0,0
36,ADT INC DEL,COM,00090Q103,2195496,288881,SH,SOLE,288881,0,0
37,ADTRAN HOLDINGS INC,COM,00486H105,468508,89070,SH,SOLE,89070,0,0
38,ADVANCE AUTO PARTS INC,COM,00751Y106,2837184,44800,SH,SOLE,44800,0,0
