,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole,votingAuthorityShared,votingAuthorityNone
0,1 800 FLOWERS COM INC,CL A,68243Q106,165970,15325,SH,SOLE,15325,0,0
1,1STDIBS COM INC,COM,320551104,195673,32831,SH,SOLE,32831,0,0
2,2SEVENTY BIO INC,COMMON STOCK,901384107,205622,38434,SH,SOLE,38434,0,0
3,3M CO,COM,88579Y101,196060424,1848406,SH,SOLE,1848406,0,0
4,89BIO INC,COM,282559103,294748,25322,SH,SOLE,25322,0,0
5,ABBOTT LABS,COM,002824100,397810,3500,SH,SOLE,3500,0,0
6,ABBOTT LABS,COM,002824100,4613118,40587,SH,SOLE,40587,0,0
7,ABBOTT LABS,COM,002824100,6455888,56800,SH,SOLE,56800,0,0
8,ABBVIE INC,COM,00287Y109,2592558,14237,SH,SOLE,14237,0,0
9,ABBVIE INC,COM,00287Y109,3150330,17300,SH,SOLE,17300,0,0
10,ABBVIE INC,COM,00287Y109,10543590,57900,SH,SOLE,57900,0,0
11,ABCELLERA BIOLOGICS INC,COM,00288U106,265050,58510,SH,SOLE,58510,0,0
12,ABEONA THERAPEUTICS INC,COM NEW,00289Y206,137939,19026,SH,SOLE,19026,0,0
13,ABERCROMBIE & FITCH CO,CL A,002896207,40451511,322760,SH,SOLE,322760,0,0
14,ABM INDS INC,COM,000957100,9089853,203717,SH,SOLE,203717,0,0
15,ACADEMY SPORTS & OUTDOORS IN,COM,00402L107,11005373,162946,SH,SOLE,162946,0,0
16,ACADIA RLTY TR,COM SH BEN INT,004239109,3857000,226749,SH,SOLE,226749,0,0
17,ACCEL ENTERTAINMENT INC,COM CL A1,00436Q106,2950707,250272,SH,SOLE,250272,0,0
18,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,207966,600,SH,SOLE,600,0,0
19,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,797550,2301,SH,SOLE,2301,0,0
20,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,2634236,7600,SH,SOLE,7600,0,0
21,ACCO BRANDS CORP,COM,00081T108,756346,134821,SH,SOLE,134821,0,0
22,ACCOLADE INC,COM,00437E102,251782,24025,SH,SOLE,24025,0,0
23,ACELYRIN INC,COM,00445A100,359930,53323,SH,SOLE,53323,0,0
24,ACHIEVE LIFE SCIENCES INC,COM,004468500,126110,27747,SH,SOLE,27747,0,0
25,ACI WORLDWIDE INC,COM,004498101,1534070,46193,SH,SOLE,46193,0,0
26,ACUITY BRANDS INC,COM,00508Y102,9665412,35967,SH,SOLE,35967,0,0
27,ACUMEN PHARMACEUTICALS INC,COM,00509G209,258993,63949,SH,SOLE,63949,0,0
28,ACUSHNET HLDGS CORP,COM,005098108,3346831,50748,SH,SOLE,50748,0,0
29,ACV AUCTIONS INC,COM CL A,00091G104,1609753,85762,SH,SOLE,85762,0,0
30,ADAPTHEALTH CORP,COMMON STOCK,00653Q102,1709154,148493,SH,SOLE,148493,0,0
31,ADAPTIVE BIOTECHNOLOGIES COR,COM,00650F109,63834,19886,SH,SOLE,19886,0,0
32,ADC THERAPEUTICS SA,SHS,H0036K147,106705,23765,SH,SOLE,23765,0,0
33,ADECOAGRO S A,COM,L00849106,784866,71222,SH,SOLE,71222,0,0
34,ADEIA INC,COM,00676P107,422844,38722,SH,SOLE,38722,0,0
35,ADICET BIO INC,COM,007002108,14526927,6181671,SH,SOLE,6181671,0,0
36,ADMA BIOLOGICS INC,COM,000899104,391657,59342,SH,SOLE,59342,0,0
37,ADOBE INC,COM,00724F101,201840,400,SH,SOLE,400,0,0
38,ADOBE INC,COM,00724F101,958740,1900,SH,SOLE,1900,0,0
39,ADOBE INC,COM,00724F101,4794709,9502,SH,SOLE,9502,0,0
40,ADT INC DEL,COM,00090Q103,1734412,258097,SH,SOLE,258097,0,0
41,ADTALEM GLOBAL ED INC,COM,00737L103,4216753,82038,SH,SOLE,82038,0,0
42,ADTHEORENT HOLDING COMPANY,COM,00739D109,229188,71398,SH,SOLE,71398,0,0
43,ADVANCE AUTO PARTS INC,COM,00751Y106,287349,3377,SH,SOLE,3377,0,0
44,ADVANCE AUTO PARTS INC,COM,00751Y106,3812032,44800,SH,SOLE,44800,0,0
45,ADVANCED DRAIN SYS INC DEL,COM,00790R104,1599421,9286,SH,SOLE,9286,0,0
46,ADVANCED ENERGY INDS,COM,007973100,4173532,40925,SH,SOLE,40925,0,0
47,ADVANCED MICRO DEVICES INC,COM,007903107,8212295,45500,SH,SOLE,45500,0,0
48,ADVANCED MICRO DEVICES INC,COM,007903107,15702630,87000,SH,SOLE,87000,0,0
49,ADVANCED MICRO DEVICES INC,COM,007903107,106753698,591466,SH,SOLE,591466,0,0
50,ADVANTAGE SOLUTIONS INC,COM CL A,00791N102,149584,34546,SH,SOLE,34546,0,0
51,ADVERUM BIOTECHNOLOGIES INC,COM NEW,00773U207,200760,14198,SH,SOLE,14198,0,0
52,AECOM,COM,00766T100,25157324,256498,SH,SOLE,256498,0,0
53,AEMETIS INC,COM NEW,00770K202,225883,37710,SH,SOLE,37710,0,0
54,AERCAP HOLDINGS NV,SHS,N00985106,71406299,821612,SH,SOLE,821612,0,0
55,AEROVIRONMENT INC,COM,008073108,890710,5811,SH,SOLE,5811,0,0
56,AES CORP,COM,00130H105,3204127,178702,SH,SOLE,178702,0,0
57,AFFIRM HLDGS INC,COM CL A,00827B106,2235600,60000,SH,SOLE,60000,0,0
58,AFFIRM HLDGS INC,COM CL A,00827B106,14676565,393896,SH,SOLE,393896,0,0
59,AFLAC INC,COM,001055102,530186,6175,SH,SOLE,6175,0,0
60,AFLAC INC,COM,001055102,6722838,78300,SH,SOLE,78300,0,0
61,AG MTG INVT TR INC,COM NEW,001228501,336068,54913,SH,SOLE,54913,0,0
62,AGILITI INC,COM,00848J104,632277,62478,SH,SOLE,62478,0,0
63,AGILON HEALTH INC,COM,00857U107,3611902,592115,SH,SOLE,592115,0,0
64,AGIOS PHARMACEUTICALS INC,COM,00847X104,2294989,78488,SH,SOLE,78488,0,0
65,AGNICO EAGLE MINES LTD,COM,008474108,18827492,315633,SH,SOLE,315633,0,0
66,AGREE RLTY CORP,COM,008492100,6504140,113868,SH,SOLE,113868,0,0
67,AIR LEASE CORP,CL A,00912X302,4590660,89243,SH,SOLE,89243,0,0
68,AIR PRODS & CHEMS INC,COM,009158106,3101541,12802,SH,SOLE,12802,0,0
69,AIRBNB INC,COM CL A,009066101,5493168,33300,SH,SOLE,33300,0,0
70,AIRBNB INC,COM CL A,009066101,6878832,41700,SH,SOLE,41700,0,0
71,AIRBNB INC,COM CL A,009066101,96125161,582718,SH,SOLE,582718,0,0
72,AIRSCULPT TECHNOLOGIES INC,COM,009496100,5399915,879465,SH,SOLE,879465,0,0
73,AKAMAI TECHNOLOGIES INC,COM,00971T101,63144533,580586,SH,SOLE,580586,0,0
74,AKEBIA THERAPEUTICS INC,COM,00972D105,327191,178793,SH,SOLE,178793,0,0
75,ALAMOS GOLD INC NEW,COM CL A,011532108,17338488,1175491,SH,SOLE,1175491,0,0
76,ALARM COM HLDGS INC,COM,011642105,999579,13793,SH,SOLE,13793,0,0
77,ALASKA AIR GROUP INC,COM,011659109,118966227,2767300,SH,SOLE,2767300,0,0
78,ALBEMARLE CORP,COM,012653101,355698,2700,SH,SOLE,2700,0,0
79,ALBEMARLE CORP,COM,012653101,7390614,56100,SH,SOLE,56100,0,0
80,ALBEMARLE CORP,COM,012653101,40516110,307546,SH,SOLE,307546,0,0
81,ALBERTSONS COS INC,COMMON STOCK,013091103,718283,33502,SH,OTR,0,33502,0
82,ALBERTSONS COS INC,COMMON STOCK,013091103,12285141,573001,SH,OTR,0,573001,0
83,ALBERTSONS COS INC,COMMON STOCK,013091103,129538357,6041901,SH,SOLE,6041901,0,0
84,ALCOA CORP,COM,013872106,7602750,225000,SH,SOLE,225000,0,0
85,ALCOA CORP,COM,013872106,71674402,2121172,SH,SOLE,2121172,0,0
86,ALCON AG,ORD SHS,H01301128,5230945,62804,SH,SOLE,62804,0,0
87,ALEXANDER & BALDWIN INC NEW,COM,014491104,5375281,326368,SH,SOLE,326368,0,0
88,ALGONQUIN PWR UTILS CORP,COM,015857105,7191124,1137836,SH,SOLE,1137836,0,0
89,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,2170800,30000,SH,SOLE,30000,0,0
90,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,6172800,90000,SH,SOLE,90000,0,0
91,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,64884561,896691,SH,SOLE,896691,0,0
92,ALIGHT INC,COM CL A,01626W101,15327161,1556057,SH,SOLE,1556057,0,0
93,ALIGN TECHNOLOGY INC,COM,016255101,2459400,7500,SH,SOLE,7500,0,0
94,ALIGN TECHNOLOGY INC,COM,016255101,37566843,114561,SH,SOLE,114561,0,0
95,ALIMERA SCIENCES INC,COM NEW,016259202,40260,10323,SH,SOLE,10323,0,0
96,ALKERMES PLC,SHS,G01767105,13038428,481656,SH,SOLE,481656,0,0
97,ALLEGIANT TRAVEL CO,COM,01748X102,9440058,125516,SH,SOLE,125516,0,0
98,ALLEGRO MICROSYSTEMS INC,COM,01749D105,31201563,1157328,SH,SOLE,1157328,0,0
99,ALLISON TRANSMISSION HLDGS I,COM,01973R101,590439,7275,SH,SOLE,7275,0,0
