,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole,votingAuthorityShared,votingAuthorityNone
0,2SEVENTY BIO INC,COMMON STOCK,901384107,2496205,636787,SH,SOLE,636787,0,0
1,3-D SYS CORP DEL,COM NEW,88554D205,635629,129456,SH,SOLE,129456,0,0
2,3M CO,COM,88579Y101,59976904,640642,SH,SOLE,640642,0,0
3,8X8 INC NEW,COM,282914100,174271,69155,SH,SOLE,69155,0,0
4,AAR CORP,COM,000361105,3528045,59265,SH,SOLE,59265,0,0
5,ABBOTT LABS,COM,002824100,639210,6600,SH,SOLE,6600,0,0
6,ABBOTT LABS,COM,002824100,2105035,21735,SH,SOLE,21735,0,0
7,ABBOTT LABS,COM,002824100,3341325,34500,SH,SOLE,34500,0,0
8,ABBVIE INC,COM,00287Y109,1209920,8117,SH,OTR,0,8117,0
9,ABBVIE INC,COM,00287Y109,2936482,19700,SH,SOLE,19700,0,0
10,ABBVIE INC,COM,00287Y109,17842482,119700,SH,SOLE,119700,0,0
11,ABBVIE INC,COM,00287Y109,36056720,241894,SH,SOLE,241894,0,0
12,ABCAM PLC,ADS,000380204,81149551,3585928,SH,SOLE,3585928,0,0
13,ABERCROMBIE & FITCH CO,CL A,002896207,171139,3036,SH,OTR,0,3036,0
14,ABERCROMBIE & FITCH CO,CL A,002896207,27005176,479070,SH,SOLE,479070,0,0
15,ABM INDS INC,COM,000957100,2181265,54518,SH,SOLE,54518,0,0
16,ACADEMY SPORTS & OUTDOORS IN,COM,00402L107,254218,5378,SH,SOLE,5378,0,0
17,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,95411,1357,SH,OTR,0,1357,0
18,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,22091613,314203,SH,SOLE,314203,0,0
19,ACADIA PHARMACEUTICALS INC,COM,004225108,340067,16318,SH,OTR,0,16318,0
20,ACADIA RLTY TR,COM SH BEN INT,004239109,313949,21878,SH,OTR,0,21878,0
21,ACCEL ENTERTAINMENT INC,COM CL A1,00436Q106,1619669,147915,SH,SOLE,147915,0,0
22,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,337821,1100,SH,SOLE,1100,0,0
23,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,583509,1900,SH,SOLE,1900,0,0
24,ACCOLADE INC,COM,00437E102,5601338,529427,SH,SOLE,529427,0,0
25,ACI WORLDWIDE INC,COM,004498101,763272,33833,SH,SOLE,33833,0,0
26,ACLARIS THERAPEUTICS INC,COM,00461U105,72000,10511,SH,SOLE,10511,0,0
27,ACTIVISION BLIZZARD INC,COM,00507V109,27068433,289100,SH,SOLE,289100,0,0
28,ACTIVISION BLIZZARD INC,COM,00507V109,443169516,4733200,SH,SOLE,4733200,0,0
29,ACTIVISION BLIZZARD INC,COM,00507V109,625790524,6683654,SH,SOLE,6683654,0,0
30,ACUSHNET HLDGS CORP,COM,005098108,559519,10549,SH,SOLE,10549,0,0
31,ADECOAGRO S A,COM,L00849106,1674581,143249,SH,SOLE,143249,0,0
32,ADICET BIO INC,COM,007002108,17194,12550,SH,SOLE,12550,0,0
33,ADIENT PLC,ORD SHS,G0084W101,12793326,348592,SH,SOLE,348592,0,0
34,ADOBE INC,COM,00724F101,436474,856,SH,OTR,0,856,0
35,ADOBE INC,COM,00724F101,16571750,32500,SH,SOLE,32500,0,0
36,ADOBE INC,COM,00724F101,31511820,61800,SH,SOLE,61800,0,0
37,ADOBE INC,COM,00724F101,32852857,64430,SH,SOLE,64430,0,0
38,ADT INC DEL,COM,00090Q103,29226,4871,SH,OTR,0,4871,0
39,ADT INC DEL,COM,00090Q103,1228104,204684,SH,SOLE,204684,0,0
40,ADTALEM GLOBAL ED INC,COM,00737L103,112995,2637,SH,OTR,0,2637,0
41,ADTALEM GLOBAL ED INC,COM,00737L103,360026,8402,SH,SOLE,8402,0,0
42,ADVANCE AUTO PARTS INC,COM,00751Y106,59118,1057,SH,SOLE,1057,0,0
43,ADVANCE AUTO PARTS INC,COM,00751Y106,209626,3748,SH,OTR,0,3748,0
44,ADVANCE AUTO PARTS INC,COM,00751Y106,6152300,110000,SH,SOLE,110000,0,0
45,ADVANCE AUTO PARTS INC,COM,00751Y106,9228450,165000,SH,SOLE,165000,0,0
46,ADVANCED DRAIN SYS INC DEL,COM,00790R104,11642874,102283,SH,SOLE,102283,0,0
47,ADVANCED ENERGY INDS,COM,007973100,4653702,45129,SH,SOLE,45129,0,0
48,ADVANCED MICRO DEVICES INC,COM,007903107,12132760,118000,SH,SOLE,118000,0,0
49,ADVANCED MICRO DEVICES INC,COM,007903107,17242914,167700,SH,SOLE,167700,0,0
50,ADVANCED MICRO DEVICES INC,COM,007903107,138177844,1343881,SH,SOLE,1343881,0,0
51,ADVANSIX INC,COM,00773T101,639720,20583,SH,SOLE,20583,0,0
52,AECOM,COM,00766T100,42350,510,SH,OTR,0,510,0
53,AECOM,COM,00766T100,9696000,116763,SH,SOLE,116763,0,0
54,AEMETIS INC,COM NEW,00770K202,162294,39107,SH,SOLE,39107,0,0
55,AERCAP HOLDINGS NV,SHS,N00985106,150095,2395,SH,OTR,0,2395,0
56,AERCAP HOLDINGS NV,SHS,N00985106,110142650,1757502,SH,SOLE,1757502,0,0
57,AFC GAMMA INC,COM,00109K105,1540452,131214,SH,SOLE,131214,0,0
58,AFFILIATED MANAGERS GROUP IN,COM,008252108,7176781,55062,SH,SOLE,55062,0,0
59,AFFIMED N V,COM,N01045108,4800,10044,SH,SOLE,10044,0,0
60,AFFIRM HLDGS INC,COM CL A,00827B106,165991,7804,SH,OTR,0,7804,0
61,AFFIRM HLDGS INC,COM CL A,00827B106,8890945,418004,SH,SOLE,418004,0,0
62,AFLAC INC,COM,001055102,1560558,20333,SH,SOLE,20333,0,0
63,AFLAC INC,COM,001055102,15350000,200000,SH,SOLE,200000,0,0
64,AFYA LTD,CL A COM,G01125106,177734,11249,SH,SOLE,11249,0,0
65,AGCO CORP,COM,001084102,110828,937,SH,OTR,0,937,0
66,AGCO CORP,COM,001084102,28821406,243671,SH,SOLE,243671,0,0
67,AGILITI INC,COM,00848J104,76342,11763,SH,SOLE,11763,0,0
68,AGIOS PHARMACEUTICALS INC,COM,00847X104,6559666,265037,SH,SOLE,265037,0,0
69,AGNICO EAGLE MINES LTD,COM,008474108,10817,238,SH,OTR,0,238,0
70,AGNICO EAGLE MINES LTD,COM,008474108,2247866,49458,SH,SOLE,49458,0,0
